"","Tidstämpel","Jag har lärt mig något nytt","Jag har fått en ny idé","Jag har omprövat något","Jag har upplevt konstruktiv friktion","Jag längtar till nästa fredag","day"
"1",2023-09-29 14:54:26.57,4,3,3,4,5,"2023-09-29"
"2",2023-09-29 14:55:17.888,4,3,3,3,5,"2023-09-29"
"3",2023-09-29 14:55:27.058,3,4,4,3,5,"2023-09-29"
"4",2023-09-29 15:05:54.123,5,3,2,3,5,"2023-09-29"
"5",2023-09-29 16:11:26.065,1,2,2,3,5,"2023-09-29"
"6",2023-10-06 15:43:22.769,5,3,3,4,5,"2023-10-06"
"7",2023-10-06 15:43:31.864,5,5,4,5,5,"2023-10-06"
"8",2023-10-06 15:43:49.892,2,4,1,1,5,"2023-10-06"
"9",2023-10-06 15:43:53.454,5,5,5,5,5,"2023-10-06"
"10",2023-10-06 15:43:54.433,5,3,4,5,5,"2023-10-06"
"11",2023-10-06 15:44:34.112,5,4,4,5,5,"2023-10-06"
"12",2023-10-06 15:45:20.74,3,2,4,4,4,"2023-10-06"
"13",2023-10-06 15:45:44.184,5,4,3,5,5,"2023-10-06"
"14",2023-10-13 15:49:07.933,5,5,4,5,5,"2023-10-13"
"15",2023-10-13 15:50:50.98,5,5,4,5,5,"2023-10-13"
"16",2023-10-13 15:51:34.471,5,4,2,3,5,"2023-10-13"
"17",2023-10-13 15:53:47.988,3,2,3,2,5,"2023-10-13"
"18",2023-10-13 15:56:29.433,4,4,4,4,5,"2023-10-13"
"19",2023-10-13 15:57:33.991,5,3,1,2,5,"2023-10-13"
"20",2023-10-13 15:59:37.632,5,5,3,3,5,"2023-10-13"
"21",2023-10-13 16:14:32.951,4,4,3,4,3,"2023-10-13"
"22",2023-10-20 15:22:14.07,5,4,4,5,5,"2023-10-20"
"23",2023-10-20 15:23:07.149,5,5,5,5,5,"2023-10-20"
"24",2023-10-20 15:23:49.483,4,5,4,3,5,"2023-10-20"
"25",2023-10-20 15:23:58.146,4,4,3,5,5,"2023-10-20"
"26",2023-10-20 15:25:02.862,5,4,3,3,5,"2023-10-20"
"27",2023-10-20 15:25:59.283,5,5,5,4,5,"2023-10-20"
"28",2023-10-27 15:54:05.361001,4,5,3,4,5,"2023-10-27"
"29",2023-10-27 15:58:58.373,4,4,3,5,5,"2023-10-27"
"30",2023-10-27 16:04:45.77,4,3,3,5,5,"2023-10-27"
"31",2023-11-17 15:25:45.035,5,5,5,5,5,"2023-11-17"
"32",2023-11-17 15:26:25.881001,5,4,4,4,5,"2023-11-17"
"33",2023-11-17 15:26:26.105,4,3,5,5,5,"2023-11-17"
"34",2023-11-17 15:27:46.486,5,2,3,4,5,"2023-11-17"
"35",2023-11-17 17:24:23.274001,4,4,3,5,5,"2023-11-17"
"36",2023-11-24 15:44:24.315,5,5,5,5,5,"2023-11-24"
"37",2023-11-24 15:45:37.366,5,5,4,5,5,"2023-11-24"
"38",2023-11-24 15:46:47.629,5,4,4,5,5,"2023-11-24"
"39",2023-11-24 15:51:20.435,5,5,5,5,5,"2023-11-24"
"40",2023-11-24 15:54:56.951,5,5,4,4,5,"2023-11-24"
"41",2023-12-01 13:10:16.776,3,3,3,3,5,"2023-12-01"
"42",2023-12-01 13:56:05.17,4,2,2,2,5,"2023-12-01"
"43",2023-12-15 14:42:14.422999,5,5,5,2,5,"2023-12-15"
"44",2023-12-15 14:44:23.604,5,4,4,3,5,"2023-12-15"
"45",2023-12-15 14:45:58.993,4,4,4,4,5,"2023-12-15"
"46",2023-12-15 17:40:05.206,5,5,5,5,4,"2023-12-15"
"47",2023-12-18 16:53:24.095,1,4,1,4,5,"2023-12-18"
"48",2024-01-08 15:06:56.768,4,4,3,3,5,"2024-01-08"
"49",2024-01-08 15:08:56.973,3,4,2,4,4,"2024-01-08"
"50",2024-01-08 15:10:43.249001,4,3,2,2,5,"2024-01-08"
"51",2024-01-15 15:11:36.758,4,4,4,5,5,"2024-01-15"
"52",2024-01-15 15:59:03.992,5,5,5,4,5,"2024-01-15"
"53",2024-01-22 14:21:14.770999,5,5,5,5,5,"2024-01-22"
"54",2024-01-22 15:25:50.684999,5,5,4,4,4,"2024-01-22"
"55",2024-01-22 15:55:18.022,4,4,3,3,5,"2024-01-22"
"56",2024-01-29 15:33:36.283,3,4,4,4,5,"2024-01-29"
"57",2024-01-29 15:42:08.295,5,5,3,3,5,"2024-01-29"
"58",2024-01-29 15:52:16.898,5,5,3,3,5,"2024-01-29"
"59",2024-02-05 16:10:08.976,4,3,4,5,5,"2024-02-05"
"60",2024-02-05 16:30:39.308,5,4,4,5,5,"2024-02-05"
"61",2024-02-05 16:32:50.749,5,5,5,3,5,"2024-02-05"
"62",2024-02-19 15:48:39.782001,4,4,4,3,5,"2024-02-19"
"63",2024-02-26 16:51:37.68,4,4,5,4,5,"2024-02-26"
"64",2024-02-26 16:53:14.851,5,5,4,4,5,"2024-02-26"
"65",2024-02-26 16:54:13.656,5,4,4,5,5,"2024-02-26"
"66",2024-02-26 18:03:19.366,5,4,3,4,5,"2024-02-26"
"67",2024-02-26 21:23:31.09,5,4,4,4,5,"2024-02-26"
"68",2024-02-27 09:07:14.671,5,4,3,5,4,"2024-02-27"
"69",2024-03-04 15:48:19.134,3,4,3,3,5,"2024-03-04"
"70",2024-03-04 21:09:25.098,2,2,2,4,5,"2024-03-04"
"71",2024-03-04 21:19:44.356,2,3,2,3,5,"2024-03-04"
"72",2024-03-05 10:03:11.515,3,5,3,4,5,"2024-03-05"
